source_name|attrib|object|value
Account|campaign_id|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|created_by|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
Account|parent_id|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|shipping_address_country|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|parent_name|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|billing_address_postalcode|63cf13da-cff4-99e7-f946-48fcec93f1cc|94024|
Account|created_by_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
Account|name|63cf13da-cff4-99e7-f946-48fcec93f1cc|Aeroprise|
Account|website|63cf13da-cff4-99e7-f946-48fcec93f1cc|aeroprise.com|
Account|account_type|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|sic_code|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|date_entered|63cf13da-cff4-99e7-f946-48fcec93f1cc|2008-10-20 20:39:15|
Account|industry|63cf13da-cff4-99e7-f946-48fcec93f1cc|Technology|
Account|assigned_user_id|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
Account|rating|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|assigned_user_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
Account|shipping_address_postalcode|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|billing_address_country|63cf13da-cff4-99e7-f946-48fcec93f1cc||
