id|source_id|attrib|object|value|attrib_type
-111196576|1|phone_office|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-96428733|1|modified_user_id|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
-18701746|1|modified_by_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
99273267|1|campaign_id|63cf13da-cff4-99e7-f946-48fcec93f1cc||
170741470|1|created_by|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
217712487|1|parent_id|63cf13da-cff4-99e7-f946-48fcec93f1cc||
273350594|1|shipping_address_country|63cf13da-cff4-99e7-f946-48fcec93f1cc||
381979670|1|parent_name|63cf13da-cff4-99e7-f946-48fcec93f1cc||
394939468|1|billing_address_postalcode|63cf13da-cff4-99e7-f946-48fcec93f1cc|94024|
411582813|1|created_by_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
637602004|1|name|63cf13da-cff4-99e7-f946-48fcec93f1cc|Aeroprise|
638774247|1|website|63cf13da-cff4-99e7-f946-48fcec93f1cc|aeroprise.com|
639824025|1|account_type|63cf13da-cff4-99e7-f946-48fcec93f1cc||
667425113|1|sic_code|63cf13da-cff4-99e7-f946-48fcec93f1cc||
723197960|1|date_entered|63cf13da-cff4-99e7-f946-48fcec93f1cc|2008-10-20 20:39:15|
747100215|1|industry|63cf13da-cff4-99e7-f946-48fcec93f1cc|Technology|
786034836|1|assigned_user_id|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
840957428|1|rating|63cf13da-cff4-99e7-f946-48fcec93f1cc||
865596563|1|assigned_user_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
914826898|1|shipping_address_postalcode|63cf13da-cff4-99e7-f946-48fcec93f1cc||
971031329|1|billing_address_country|63cf13da-cff4-99e7-f946-48fcec93f1cc||
